distance_px,intensity_green,trend,envelope
254.000,206.000000,210.339408,4.776334
255.000,206.000000,210.403062,4.817898
256.000,206.000000,210.467073,4.858947
257.000,205.720731,210.531420,4.899433
258.000,205.000000,210.596080,4.939316
259.000,205.215268,210.661030,4.978555
260.000,205.587453,210.726247,5.017110
261.000,205.413805,210.791707,5.054947
262.000,205.240157,210.857386,5.092033
263.000,205.066509,210.923257,5.128338
264.000,205.107139,210.989296,5.163837
265.000,205.226965,211.055477,5.198509
266.000,205.192575,211.121772,5.232333
267.000,205.785152,211.188155,5.265297
268.000,206.057937,211.254598,5.297389
269.000,206.042794,211.321074,5.328602
270.000,206.115723,211.387552,5.358934
271.000,207.100530,211.454006,5.388386
272.000,208.000000,211.520404,5.416965
273.000,208.070146,211.586717,5.444679
274.000,209.000000,211.652915,5.471543
275.000,209.079523,211.718967,5.497576
276.000,211.000000,211.784843,5.522800
277.000,211.015335,211.850510,5.547243
278.000,212.453286,211.915937,5.570936
279.000,212.985046,211.981092,5.593916
280.000,213.000000,212.045942,5.616222
281.000,213.000000,212.110455,5.637900
282.000,213.933416,212.174597,5.658997
283.000,214.000000,212.238336,5.679567
284.000,214.903031,212.301636,5.699666
285.000,215.000000,212.364466,5.719354
286.000,215.872647,212.426792,5.738695
287.000,216.770811,212.488579,5.757755
288.000,216.956670,212.549795,5.776603
289.000,217.000000,212.610404,5.795313
290.000,217.000000,212.670375,5.813960
291.000,217.000000,212.729672,5.832621
292.000,217.024001,212.788261,5.851376
293.000,217.000000,212.846109,5.870307
294.000,217.000000,212.903181,5.889495
295.000,217.000000,212.959444,5.909026
296.000,217.000000,213.014862,5.928983
297.000,216.885372,213.069402,5.949452
298.000,217.000000,213.123030,5.970518
299.000,217.000000,213.175712,5.992268
300.000,216.340045,213.227415,6.014786
301.000,216.000000,213.278106,6.038158
302.000,216.000000,213.327752,6.062468
303.000,216.000000,213.376321,6.087797
304.000,216.620456,213.423780,6.114228
305.000,217.000000,213.470099,6.141838
306.000,216.886652,213.515246,6.170705
307.000,217.383853,213.559192,6.200902
308.000,218.150212,213.601906,6.232501
309.000,218.842614,213.643359,6.265570
310.000,219.141670,213.683522,6.300173
311.000,218.775763,213.722368,6.336371
312.000,218.442252,213.759870,6.374221
313.000,218.331073,213.795999,6.413776
314.000,217.552736,213.830730,6.455084
315.000,216.583830,213.864037,6.498190
316.000,216.079797,213.895895,6.543131
317.000,216.000000,213.926282,6.589944
318.000,216.000000,213.955172,6.638657
319.000,216.000000,213.982546,6.689294
320.000,215.643890,214.008382,6.741874
321.000,215.000000,214.032660,6.796411
322.000,215.000000,214.055362,6.852913
323.000,215.109426,214.076469,6.911383
324.000,215.666013,214.095966,6.971818
325.000,216.000000,214.113837,7.034209
326.000,216.000000,214.130067,7.098545
327.000,215.953026,214.144645,7.164804
328.000,215.831129,214.157557,7.232962
329.000,216.000000,214.168793,7.302990
330.000,216.000000,214.178344,7.374853
331.000,216.048843,214.186200,7.448510
332.000,216.084785,214.192355,7.523916
333.000,215.911137,214.196803,7.601021
334.000,215.880907,214.199539,7.679771
335.000,216.563840,214.200560,7.760107
336.000,216.390192,214.199865,7.841967
337.000,216.216544,214.197453,7.925284
338.000,216.125546,214.193325,8.009987
339.000,216.869247,214.187484,8.096003
340.000,216.695599,214.179933,8.183256
341.000,216.539674,214.170678,8.271666
342.000,217.021881,214.159727,8.361152
343.000,218.000000,214.147087,8.451630
344.000,218.000000,214.132769,8.543015
345.000,217.827358,214.116784,8.635218
346.000,217.653710,214.099147,8.728153
347.000,218.917801,214.079871,8.821728
348.000,219.000000,214.058973,8.915855
349.000,219.000000,214.036470,9.010443
350.000,219.900343,214.012384,9.105403
351.000,220.885151,213.986733,9.200645
352.000,221.869958,213.959541,9.296081
353.000,222.000000,213.930831,9.391623
354.000,222.617486,213.900629,9.487184
355.000,224.557887,213.868962,9.582681
356.000,225.809189,213.835858,9.678031
357.000,226.997594,213.801346,9.773153
358.000,227.430068,213.765458,9.867970
359.000,228.669936,213.728227,9.962406
360.000,229.000000,213.689686,10.056389
361.000,229.035919,213.649872,10.149851
362.000,229.000000,213.608821,10.242725
363.000,229.702844,213.566571,10.334950
364.000,230.363110,213.523162,10.426467
365.000,230.788538,213.478635,10.517222
366.000,230.342733,213.433032,10.607164
367.000,228.073776,213.386398,10.696246
368.000,226.040018,213.338777,10.784425
369.000,224.512415,213.290215,10.871663
370.000,224.289990,213.240758,10.957924
371.000,224.312506,213.190456,11.043178
372.000,224.138858,213.139357,11.127397
373.000,223.429912,213.087510,11.210560
374.000,222.367499,213.034968,11.292647
375.000,221.801110,212.981781,11.373645
376.000,221.219758,212.928002,11.453543
377.000,220.509848,212.873683,11.532334
378.000,219.571096,212.818879,11.610015
379.000,219.000000,212.763645,11.686586
380.000,218.888710,212.708035,11.762051
381.000,218.328689,212.652105,11.836416
382.000,217.585809,212.595913,11.909691
383.000,216.601001,212.539515,11.981888
384.000,215.978860,212.482968,12.053024
385.000,215.306478,212.426332,12.123116
386.000,214.542363,212.369663,12.192184
387.000,214.661770,212.313021,12.260250
388.000,214.000000,212.256464,12.327338
389.000,213.634637,212.200050,12.393475
390.000,212.698017,212.143839,12.458686
391.000,211.678018,212.087887,12.523001
392.000,210.403625,212.032254,12.586447
393.000,209.370624,211.976997,12.649055
394.000,209.231884,211.922175,12.710853
395.000,209.968591,211.867844,12.771872
396.000,209.804283,211.814062,12.832140
397.000,209.164648,211.760885,12.891686
398.000,209.000000,211.708370,12.950539
399.000,209.000000,211.656573,13.008725
400.000,209.000000,211.605549,13.066272
401.000,208.874462,211.555351,13.123204
402.000,208.070588,211.506034,13.179546
403.000,208.244236,211.457649,13.235319
404.000,208.417884,211.410250,13.290545
405.000,208.629845,211.363886,13.345241
406.000,209.454490,211.318607,13.399424
407.000,208.030178,211.274463,13.453110
408.000,208.853455,211.231501,13.506309
409.000,207.288981,211.189767,13.559033
410.000,207.993954,211.149307,13.611289
411.000,207.026384,211.110164,13.663083
412.000,205.856667,211.072379,13.714417
413.000,205.037486,211.035994,13.765293
414.000,202.215883,211.001047,13.815707
415.000,202.912847,210.967576,13.865655
416.000,200.307036,210.935616,13.915130
417.000,200.882462,210.905203,13.964121
418.000,198.398190,210.876368,14.012615
419.000,198.855422,210.849143,14.060596
420.000,199.000000,210.823557,14.108047
421.000,199.000000,210.799637,14.154948
422.000,199.000000,210.777408,14.201274
423.000,198.208691,210.756894,14.247003
424.000,198.000000,210.738117,14.292106
425.000,197.935504,210.721097,14.336555
426.000,197.761856,210.705852,14.380320
427.000,197.588208,210.692397,14.423369
428.000,196.402658,210.680746,14.465669
429.000,196.000000,210.670911,14.507186
430.000,196.684963,210.662901,14.547883
431.000,196.295098,210.656724,14.587725
432.000,195.345421,210.652385,14.626674
433.000,195.000000,210.649887,14.664693
434.000,194.375806,210.649232,14.701745
435.000,194.609002,210.650419,14.737790
436.000,195.000000,210.653445,14.772792
437.000,195.000000,210.658305,14.806713
438.000,195.382046,210.664992,14.839517
439.000,195.504430,210.673497,14.871167
440.000,195.687502,210.683809,14.901629
441.000,196.081371,210.695914,14.930869
442.000,196.494355,210.709798,14.958855
443.000,196.415071,210.725442,14.985556
444.000,195.527728,210.742829,15.010943
445.000,195.000000,210.761936,15.034989
446.000,195.000000,210.782740,15.057670
447.000,195.000000,210.805217,15.078964
448.000,194.941596,210.829340,15.098852
449.000,194.859913,210.855080,15.117317
450.000,195.226498,210.882406,15.134346
451.000,195.420652,210.911287,15.149928
452.000,195.948471,210.941688,15.164057
453.000,197.384283,210.973574,15.176727
454.000,198.640698,211.006909,15.187940
455.000,200.000000,211.041652,15.197698
456.000,200.000000,211.077766,15.206008
457.000,200.000000,211.115207,15.212880
458.000,200.259580,211.153933,15.218330
459.000,201.244388,211.193900,15.222376
460.000,201.967412,211.235063,15.225039
461.000,201.898173,211.277375,15.226347
462.000,202.709333,211.320787,15.226329
463.000,203.336873,211.365252,15.225020
464.000,203.163225,211.410719,15.222459
465.000,202.989577,211.457138,15.218688
466.000,202.979381,211.504458,15.213753
467.000,204.078904,211.552625,15.207704
468.000,204.633496,211.601589,15.200595
469.000,206.027276,211.651295,15.192482
470.000,206.266507,211.701689,15.183425
471.000,208.009769,211.752719,15.173487
472.000,208.857222,211.804329,15.162735
473.000,210.232480,211.856463,15.151236
474.000,210.905418,211.909068,15.139062
475.000,214.001312,211.962088,15.126288
476.000,214.986120,212.015467,15.112988
477.000,215.970928,212.069150,15.099241
478.000,217.211728,212.123082,15.085127
479.000,219.847879,212.177208,15.070726
480.000,220.000000,212.231474,15.056121
481.000,220.192231,212.285825,15.041397
482.000,220.932524,212.340207,15.026637
483.000,222.759548,212.394566,15.011925
484.000,223.000000,212.448851,14.997348
485.000,223.410583,212.503008,14.982989
486.000,224.491232,212.556986,14.968933
487.000,224.830683,212.610734,14.955262
488.000,225.004331,212.664202,14.942059
489.000,225.037621,212.717342,14.929405
490.000,224.498530,212.770104,14.917378
491.000,224.126993,212.822442,14.906056
492.000,223.552574,212.874310,14.895512
493.000,223.745144,212.925660,14.885819
494.000,223.379781,212.976451,14.877046
495.000,223.439737,213.026637,14.869259
496.000,222.836272,213.076178,14.862522
497.000,221.900082,213.125032,14.856894
498.000,221.088922,213.173160,14.852431
499.000,220.914461,213.220525,14.849184
500.000,221.000000,213.267090,14.847203
501.000,221.000000,213.312820,14.846529
502.000,220.742622,213.357682,14.847203
503.000,220.390946,213.401645,14.849258
504.000,220.095451,213.444680,14.852723
505.000,220.000000,213.486757,14.857624
506.000,220.591406,213.527850,14.863979
507.000,221.156427,213.567935,14.871804
508.000,221.477295,213.606988,14.881110
509.000,222.135718,213.644986,14.891900
510.000,223.681389,213.681910,14.904174
511.000,224.542087,213.717742,14.917927
512.000,224.878398,213.752464,14.933148
513.000,224.874489,213.786063,14.949822
514.000,224.336812,213.818523,14.967927
515.000,225.299210,213.849834,14.987439
516.000,225.295438,213.879986,15.008329
517.000,226.443494,213.908971,15.030561
518.000,227.427553,213.936781,15.054098
519.000,227.774849,213.963411,15.078896
520.000,228.122145,213.988859,15.104908
521.000,228.469442,214.013122,15.132085
522.000,228.816738,214.036200,15.160372
523.000,228.396130,214.058095,15.189711
524.000,227.000000,214.078809,15.220042
525.000,227.103765,214.098346,15.251301
526.000,227.692894,214.116713,15.283423
527.000,228.000000,214.133916,15.316338
528.000,228.009756,214.149965,15.349977
529.000,228.000000,214.164869,15.384268
530.000,228.000000,214.178640,15.419137
531.000,228.150546,214.191290,15.454508
532.000,229.048071,214.202834,15.490307
533.000,229.181501,214.213286,15.526457
534.000,229.111998,214.222663,15.562880
535.000,229.849089,214.230982,15.599499
536.000,230.000000,214.238261,15.636238
537.000,229.881215,214.244520,15.673018
538.000,227.955800,214.249778,15.709764
539.000,226.941983,214.254057,15.746401
540.000,225.000000,214.257378,15.782852
541.000,225.000000,214.259763,15.819047
542.000,224.391583,214.261236,15.854912
543.000,223.049387,214.261820,15.890379
544.000,221.093906,214.261540,15.925379
545.000,220.062145,214.260419,15.959848
546.000,218.154675,214.258483,15.993721
547.000,216.185059,214.255758,16.026938
548.000,214.593075,214.252269,16.059440
549.000,214.073364,214.248044,16.091172
550.000,213.802211,214.243109,16.122080
551.000,213.097465,214.237492,16.152116
552.000,212.902036,214.231220,16.181232
553.000,212.708537,214.224321,16.209385
554.000,210.932640,214.216822,16.236535
555.000,210.077330,214.208751,16.262643
556.000,208.458520,214.200135,16.287677
557.000,205.743892,214.191001,16.311603
558.000,205.041466,214.181377,16.334395
559.000,203.549673,214.171287,16.356027
560.000,201.580058,214.160760,16.376477
561.000,202.389558,214.149820,16.395725
562.000,198.922481,214.138493,16.413755
563.000,198.328789,214.126804,16.430552
564.000,198.350798,214.114776,16.446105
565.000,198.000000,214.102434,16.460407
566.000,197.381182,214.089801,16.473451
567.000,197.000000,214.076900,16.485234
568.000,197.588433,214.063755,16.495754
569.000,198.000000,214.050386,16.505012
570.000,198.000000,214.036818,16.513012
571.000,198.000000,214.023069,16.519757
572.000,198.000000,214.009162,16.525256
